label,checkInLocal,durationMinutes,productionSelected,productionTotalVnd,productionBaseVnd,productionExtraUnits,oracleMinimumVnd,oracleCheapestPlan,savingsVndIfSwitch
checkIn=11:00 dur=1h,2026-07-22T04:00:00.000Z,60,LUNCH_COMBO,359000,359000,0,300000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=1.25h,2026-07-22T04:00:00.000Z,75,LUNCH_COMBO,359000,359000,0,300000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=1.5h,2026-07-22T04:00:00.000Z,90,LUNCH_COMBO,359000,359000,0,300000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=1.75h,2026-07-22T04:00:00.000Z,105,LUNCH_COMBO,359000,359000,0,300000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=2h,2026-07-22T04:00:00.000Z,120,LUNCH_COMBO,359000,359000,0,300000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=2.25h,2026-07-22T04:00:00.000Z,135,LUNCH_COMBO,359000,359000,0,300000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=2.5h,2026-07-22T04:00:00.000Z,150,LUNCH_COMBO,359000,359000,0,300000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=2.75h,2026-07-22T04:00:00.000Z,165,LUNCH_COMBO,359000,359000,0,300000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=3h,2026-07-22T04:00:00.000Z,180,LUNCH_COMBO,359000,359000,0,300000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=3.25h,2026-07-22T04:00:00.000Z,195,LUNCH_COMBO,459000,359000,1,400000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=3.5h,2026-07-22T04:00:00.000Z,210,LUNCH_COMBO,459000,359000,1,400000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=3.75h,2026-07-22T04:00:00.000Z,225,LUNCH_COMBO,459000,359000,1,400000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=4h,2026-07-22T04:00:00.000Z,240,LUNCH_COMBO,459000,359000,1,400000,THREE_HOUR_COMBO,59000
checkIn=11:00 dur=4.25h,2026-07-22T04:00:00.000Z,255,LUNCH_COMBO,559000,359000,2,450000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=4.5h,2026-07-22T04:00:00.000Z,270,LUNCH_COMBO,559000,359000,2,450000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=4.75h,2026-07-22T04:00:00.000Z,285,LUNCH_COMBO,559000,359000,2,450000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=5h,2026-07-22T04:00:00.000Z,300,LUNCH_COMBO,559000,359000,2,450000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=5.25h,2026-07-22T04:00:00.000Z,315,LUNCH_COMBO,659000,359000,3,550000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=5.5h,2026-07-22T04:00:00.000Z,330,LUNCH_COMBO,659000,359000,3,550000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=5.75h,2026-07-22T04:00:00.000Z,345,LUNCH_COMBO,659000,359000,3,550000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=6h,2026-07-22T04:00:00.000Z,360,LUNCH_COMBO,659000,359000,3,550000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=6.25h,2026-07-22T04:00:00.000Z,375,LUNCH_COMBO,759000,359000,4,650000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=6.5h,2026-07-22T04:00:00.000Z,390,LUNCH_COMBO,759000,359000,4,650000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=6.75h,2026-07-22T04:00:00.000Z,405,LUNCH_COMBO,759000,359000,4,650000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=7h,2026-07-22T04:00:00.000Z,420,LUNCH_COMBO,759000,359000,4,650000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=7.25h,2026-07-22T04:00:00.000Z,435,LUNCH_COMBO,859000,359000,5,750000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=7.5h,2026-07-22T04:00:00.000Z,450,LUNCH_COMBO,859000,359000,5,750000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=7.75h,2026-07-22T04:00:00.000Z,465,LUNCH_COMBO,859000,359000,5,750000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=8h,2026-07-22T04:00:00.000Z,480,LUNCH_COMBO,859000,359000,5,750000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=8.25h,2026-07-22T04:00:00.000Z,495,LUNCH_COMBO,959000,359000,6,850000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=8.5h,2026-07-22T04:00:00.000Z,510,LUNCH_COMBO,959000,359000,6,850000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=8.75h,2026-07-22T04:00:00.000Z,525,LUNCH_COMBO,959000,359000,6,850000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=9h,2026-07-22T04:00:00.000Z,540,LUNCH_COMBO,959000,359000,6,850000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=9.25h,2026-07-22T04:00:00.000Z,555,LUNCH_COMBO,1059000,359000,7,950000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=9.5h,2026-07-22T04:00:00.000Z,570,LUNCH_COMBO,1059000,359000,7,950000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=9.75h,2026-07-22T04:00:00.000Z,585,LUNCH_COMBO,1059000,359000,7,950000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=10h,2026-07-22T04:00:00.000Z,600,LUNCH_COMBO,1059000,359000,7,950000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=10.25h,2026-07-22T04:00:00.000Z,615,LUNCH_COMBO,1159000,359000,8,1050000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=10.5h,2026-07-22T04:00:00.000Z,630,LUNCH_COMBO,1159000,359000,8,1050000,FIVE_HOUR_COMBO,109000
checkIn=11:00 dur=10.75h,2026-07-22T04:00:00.000Z,645,LUNCH_COMBO,1159000,359000,8,1050000,FIVE_HOUR_COMBO,109000
